rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,3-Jan,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
440,Emre Can,Germany,MF,Dortmund,Bundesliga,29,1994,25,1953,2,2,4,0,2,2.2,0.6,35,110,0.09,0.09,63,45,58.3,7,23,22,41,2,0,0,0,0,0,0,0,1286,1471,87.4,7316,90.4,91.9,72.6,20,110,8,102,29,51.7,37.9,35,16,3,21,2,15,6.7,0.05,0,0,58,2.03,0.18,0,2023-2024
458,Irvin Cardona,France,MF,Augsburg,Bundesliga,25,1997,3,54,0,0,0,0,0,0.2,0.2,3,2,0,0,1,1,33.3,0,1,0,1,0,0,0,0,0,0,0,0,8,15,53.3,70,100,44.4,0,0,1,0,0,1,0,100,3,2,2,0,0,3,0,0,0,0,33.3,1.67,0,0,2023-2024
468,Rasmus Carstensen,Denmark,DF,Köln,Bundesliga,22,2000,23,1659,0,0,0,0,0,0.9,0.9,32,52,0,0,47,22,55.4,9,29,20,50,2,0,0,0,0,0,0,0,594,827,71.8,3429,85.5,76.5,33.3,16,27,20,81,30,43.3,40,32,26,3,22,0,10,40,0.22,0,0,45.7,2.12,0.11,0,2023-2024
471,Fabio Carvalho,Portugal,MF,RB Leipzig,Bundesliga,20,2002,9,165,0,0,0,0,0,0.2,0.2,8,9,0,0,3,1,33.3,0,8,0,1,0,0,0,0,0,0,0,0,72,92,78.3,219,90,66.7,40,2,6,6,0,7,42.9,42.9,8,6,1,2,0,3,66.7,1.09,0,0,40,2.18,0,0,2023-2024
483,Koen Casteels,Belgium,GK,Wolfsburg,Bundesliga,31,1992,25,2250,0,0,0,0,0,0,0,0,1,0,0,2,1,66.7,0,0,0,16,5,39,1.56,78,67.8,4,16,0,688,949,72.5,15027,99,98.4,52.9,1,29,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.24,0.04,7.5,2023-2024
500,Václav Černý,Czech Republic,FW,Wolfsburg,Bundesliga,25,1997,22,921,4,1,5,4,0,2.3,2.3,26,37,0.39,0.1,8,3,14.3,0,13,8,6,0,0,0,0,0,0,0,0,255,364,70.1,1237,83.8,65.1,53.3,14,21,21,8,33,42.4,54.5,26,19,10,15,4,20,25,0.49,0.2,0.8,14.3,3.12,0.39,0,2023-2024
505,Julian Chabot,Germany,DF,Köln,Bundesliga,25,1998,32,2703,0,0,0,0,0,1.4,1.4,17,71,0,0,59,42,59.3,43,23,45,145,0,0,0,0,0,0,0,0,1361,1616,84.2,10115,90.9,90.9,51.8,9,81,5,361,19,47.4,42.1,17,14,2,2,0,19,15.8,0.1,0,0,72.7,1.2,0.03,0,2023-2024
506,El Chadaille Bitshiabu,France,DF,RB Leipzig,Bundesliga,18,2005,6,34,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,48,59,81.4,270,92.3,77.3,77.8,0,2,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2023-2024
508,Fares Chaïbi,Algeria,MF,Eint Frankfurt,Bundesliga,20,2002,28,1912,2,4,6,2,0,3.1,3.1,53,86,0.09,0.19,27,17,44.4,1,36,5,19,0,0,0,0,0,0,0,0,592,922,64.2,3251,79.3,67,40.6,51,57,39,20,20,35,65,53,39,12,16,2,40,35,0.66,0.05,0.14,15.2,3.81,0.47,0,2023-2024
512,Timothy Chandler,United States,MF,Eint Frankfurt,Bundesliga,33,1990,6,18,0,1,1,0,0,0.1,0.1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,69.2,145,87.5,75,50,2,2,1,0,0,0,0,1,1,0,1,0,2,50,5,0,0,66.7,14.21,0,0,2023-2024
521,Fabio Chiarodia,Italy,DF,Gladbach,Bundesliga,18,2005,7,152,0,0,0,0,0,0,0,0,4,0,0,8,5,71.4,1,1,3,9,0,0,0,0,0,0,0,0,78,87,89.7,439,93.5,94.3,33.3,1,3,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,62.5,0.59,0,0,2023-2024
530,Jacob Christensen,Denmark,MF,Köln,Bundesliga,22,2001,7,219,0,0,0,0,0,0,0,2,12,0,0,10,6,57.1,2,6,4,4,0,0,0,0,0,0,0,0,66,85,77.6,453,87.5,81.6,46.2,2,8,1,9,2,50,50,2,1,0,0,0,1,0,0,0,0,0,2.45,0,0,2023-2024
555,Nnamdi Collins,Germany,DF,Eint Frankfurt,Bundesliga,19,2004,2,90,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,61,75,81.3,387,88.5,89.7,28.6,0,8,0,3,2,50,50,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2023-2024
559,Kingsley Coman,France,FW,Bayern Munich,Bundesliga,27,1996,17,1113,3,3,6,3,0,2.8,2.8,75,72,0.24,0.24,12,7,52.9,1,14,2,5,0,0,0,0,0,0,0,0,528,647,81.6,1597,86.4,88.4,57.8,29,19,41,4,67,43.3,47.8,75,35,35,22,3,34,23.5,0.65,0.09,0.38,54.5,5.09,0.57,0,2023-2024
565,Bambasé Conté,Germany,MF,Hoffenheim,Bundesliga,20,2003,7,48,0,0,0,0,0,0.2,0.2,3,2,0,0,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,19,24,79.2,61,93.3,66.7,33.3,1,3,1,2,6,33.3,50,3,2,2,2,0,3,0,0,0,0,50,1.87,0,0,2023-2024
582,Danny da Costa,Germany,DF,Mainz 05,Bundesliga,30,1993,19,830,0,1,1,0,0,0.3,0.3,22,40,0,0.11,18,9,47.4,4,13,16,24,0,0,0,0,0,0,0,0,317,470,67.4,2576,81.4,65.3,53.6,9,27,16,32,13,53.8,38.5,22,9,3,7,0,6,16.7,0.11,0,0,33.3,1.95,0.11,0,2023-2024
599,Nicolas Cozza,France,DF,Wolfsburg,Bundesliga,24,1999,6,276,0,0,0,0,0,0,0,5,16,0,0,8,6,28.6,0,3,4,6,0,0,0,0,0,0,0,0,147,192,76.6,782,86.4,77.2,44.4,2,19,2,6,7,57.1,42.9,5,1,0,0,0,1,0,0,0,0,25,1.3,0,0,2023-2024
618,Tomáš Čvančara,Czech Republic,FW,Gladbach,Bundesliga,22,2000,21,896,4,1,5,3,1,5.9,4.3,12,13,0.4,0.1,4,3,33.3,1,4,2,8,0,0,0,0,0,0,0,0,137,216,63.4,384,68.4,67.9,100,7,7,4,8,16,31.3,62.5,12,7,7,11,4,34,32.4,1.1,0.09,0.27,43.4,2.01,0.3,0,2023-2024
622,Finn Dahmen,Germany,GK,Augsburg,Bundesliga,25,1998,31,2790,0,0,0,0,0,0,0,0,3,0,0,1,0,33.3,0,0,0,17,5,52,1.68,106,71.5,3,9.7,22.2,1025,1345,76.2,18248,98.8,98.2,49.8,1,44,1,903,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0.32,0,5.8,2023-2024
